Red,Razred,Sjedala
1,P,-_BC_-
2,P,A_BC_D
5,P,A_BC_D
6,P,A_BC_D
7,P,A_BC_D
8,P,A_BC_D
9,P,-_BC_-
20,E,AB_DEFG_HJ
21,E,AB_DEFG_HJ
22,E,AB_DEFG_HJ
23,E,AB_DEFG_HJ
24,E,AB_DEFG_HJ
25,E,AB_DEFG_HJ
30,E,ABC_DEF_GHJ
31,E,ABC_DEF_GHJ
32,E,ABC_DEF_GHJ
33,E,ABC_DEF_GHJ
34,E,ABC_DEF_GHJ
35,E,ABC_DEF_GHJ
36,E,ABC_DEF_GHJ
37,E,ABC_DEF_GHJ
38,E,ABC_DEF_GHJ
39,E,ABC_DEF_GHJ
40,E,-BC_DEF_GH-
41,E,ABC_DEF_GHJ
42,E,ABC_DEF_GHJ
43,E,ABC_DEF_GHJ
44,E,ABC_DEF_GHJ
45,E,ABC_DEF_GHJ
46,E,ABC_DEF_GHJ
47,E,ABC_DEF_GHJ
48,E,ABC_DEF_GHJ
49,E,ABC_DEF_GHJ
50,E,ABC_DEF_GHJ
51,E,ABC_DEF_GHJ
52,E,ABC_DEF_GHJ
53,E,ABC_DEF_GHJ
54,E,ABC_DEF_GHJ
55,E,---_DEF_---
