Oznaka leta, Avio tvrtka, Polazni, Odredišni, Dani, Vrijeme, Oznaka aviona
OU 4436, OU, ZAG, MUC, 0123456, 08:15, DH8D
OU 4437, OU, MUC, ZAG, 0123456, 10:20, DH8D
OU 4436, OU, ZAG, MUC, 0123456, 18:40, DH8D
OU 437, OU, MUC, ZAG, 0123456, 21:15, DH8D
LH 2483, LH, LHR, MUC, 0123456, 06:55, A220-300
LH 2470, LH, MUC, LHR, 0123456, 07:05, A220-300
BA 927, BA, MUC, LHR, 0123456, 10:55, A319-100
BA 934, BA, LHR, MUC, 0123456, 13:25, A319-100
BA 939, BA, MUC, LHR, 0123456, 20:50, A319-100
BA 940, BA, LHR, MUC, 0123456, 20:20, A319-100
AF 1123, AF, MUC, CDG, 0123456, 06:30, A220-300
AF 1422, AF, CDG, MUC, 0123456, 07:05, A220-300
LH 2228, LH, MUC, CDG, 0123456, 09:40, A350-900
LH 2229, LH, CDG, MUC, 0123456, 12:00, A350-900
AF 1822, AF, CDG, MUC, 0123456, 15:45, A220-300
AF 1823, AF, MUC, CDG, 0123456, 18:40, A220-300
LH 403, LH, JFK, FRA, 0123456, 07:45, A380-800
LH 400, LH, FRA, JFK, 0123456, 11:09, A380-800
